hash_id,product_title,product_description,product_photo
a5771bce93e200c36f7cd9dfd0e5deaa,پولوشرت آستین کوتاه مردانه کد 54,,"[""654a38a445a98306d31eeb12c0d327b60985e54d_1610150519"", 1, 800, 800, ""jpg"", [3], []]"
26657d5ff9020d2abefe558796b99584,پرینتر رنگی امبراش مدل Kongten,,"[""5a75571f216e7cfa5a20546d61881815555691c0_1611642147"", 1, 600, 600, ""jpg"", [3], []]"
37bc2f75bf1bcfe8450a1a41c200364c,  رانر کد A-195,,"[""d554c3969c37b371cb8a6ff3275fc3d7c77ae169_1611597288"", 1, 600, 600, ""jpg"", [3], []]"
beed13602b9b0e6ecb5b568ff5058f07,تلویزیون ال ای دی دنای مدل K-43D1PL سایز 43 اینچ,تلویزیون LED دنای «DENAY» مدل «K-43D1PL» تلویزیونی با کیفیت Full HD که با داشتن گیرنده دیجیتال داخلی DVB-T2 قابلیت دریافت و پخش تصاویر با فرمت HEVC یا H.265 (10 بیت) را دارا است. این تلویزیون برای فضاهای کوچک و متوسط طراحی شده است که بدین ترتیب نیاز مخاطبان را برطرف خواهد کرد. این تلویزیون تصاویر را با رزولوشن 1080 × 1920 نمایش داده و دارای روشنایی تصویر بسیار بالایی ( 280 تا 330 نیت ) است. در این مدل، دو پورت USB تعبیه شده است و برای شما این امکان را فراهم می‌کند که فایل‌های خود را از آن طریق به نمایش گذاشته و از گزینه‌های متنوعی برخوردار باشید. همچنین ورودی‌های HDMI این تلویزیون با پشتیبانی از سه ویژگی ARC ، UART ، MHL ، باعث می‌شود تا بتوانید سایر لوازم صوتی و تصویری را به تلویزیون خود متصل کرده و تصاویر را با کیفیت بالاتری انتقال دهید. پشتیبانی این تلویزیون از جدیدترین فرمت‌های تصویری از جمله H.264، H.265 و پشتیبانی از ظرف‌های ویدئویی مختلف از جمله MPEG ،MP4 ،MKV ،AVI ،MOV ،FLV و غیره، باعث می‌شود تا کاربران بتوانند با خیالی آسوده از اکثر فایل‌های خود استفاده کنند. این تلویزیون همچنین به یک سیستم صوتی دو کاناله 20 وات مجهز شده است. باتوجه به این که تلویزیون برای فضاهای کوچک و متوسط طراحی شده، این سیستم صوتی جواب‌گوی این گونه فضاها خواهد بود. درگاه‌های ارتباطی متنوع یکی از مزایای این مدل محسوب می‌شود. این تلویزیون با درگاه‌های ارتباطی متنوع خود امکان اتصال انواع دستگاه‌های پخش به آن را فراهم کرده است. از طرف دیگر امکاناتی نظیر PVR ،EPG، تلتکست و ماشین زمان استفاده از این تلویزیون را ساده‌تر کرده و امکانات کاربردی در اختیار کاربر قرار داده‌اند. این تلویزیون همچنین طراحی شیکی دارد و قاب تمام مشکی آن ظاهر بسیار زیبایی به تلویزیون داده است.,"[""bc530845c77986af75a7e44f861ab97c277c870f_1667041846"", 1, 2500, 2500, ""jpg"", [3], []]"
a01a0380ca3c61428c26a231f0e49a09,گوشی موبایل سامسونگ مدل Galaxy A51 SM-A515F/DSN دو سیم کارت ظرفیت 256 گیگابایت,,"[""5f83719a17bac23d0ce292b8869265c21faed887_1656739128"", 1, 1800, 1800, ""jpg"", [3], []]"
f0e52b27a7a5d6a1a87373dffa53dbe5,لپ تاپ سونی وایو سی دبلیو 13 اف ایکس - تست,از ویژگی&zwnj;های مهم نوت&zwnj;بوک&zwnj;های سری CW تنوع رنگ، زیبایی، کیفیت ساخت و قیمت مناسب در مقابل ارایه&zwnj;ی امکانات خوب در ضمن کاربری راحت و بسیار آسان است. CW مجهز به پردازنده&zwnj;ی بسیار کارآمد و خوب اینتل از نوع دو هسته&zwnj;ای (Core 2 Duo) است. صفحه نمایش این نوت&zwnj;بوک&zwnj;ها در اندازه&zwnj;ی 14 اینچ ساخته شده، که به عقیده&zwnj;ی بسیاری سایز بسیار مناسب و میانی می&zwnj;باشد و فضای خالی بین لپ&zwnj;تاپ&zwnj;های 13 و 15 اینچ را به خوبی پر کرده است، به همین دلیل نیز از وزن مناسبی برخوردار است و فقط 2.4 کیلوگرم سنگینی دارد. این درحالی است که در حالت کلی نوت&zwnj;بوک&zwnj;های رده&zwnj;ی 15 اینچ حدود 2.6 تا 2.8 کیلوگرم سنگینی دارند.,"[3, 1, 220, 180, ""jpg"", [3], []]"
a8849b052492b5106526b2331e526138,گوشی موبایل سونی اریکسون هازل,,"[325, 1, 180, 220, ""jpg"", [3], []]"
c6e19e830859f2cb9f7c8f8cacb8d2a6,لپ تاپ سونی وایو سی دبلیو  17 اف ایکس,,"[""a55aa8aa512d6623060edb32f6538b8281a54607_1672663899"", 1, 2500, 2500, ""jpg"", [3], []]"
46922a0880a8f11f8f69cbb52b1396be,لپ تاپ سونی وایو سی دبلیو 1 آر اف ایکس,,"[""bef71aae66971825b2377c89995b62728edcd3c1_1672663918"", 1, 2500, 2500, ""jpg"", [3], []]"
